n_rounds, n_ops_per_round, merge time, comp time, sync time, merge count, real merge time, per-round comp time, average merge time
10,10,0.051205s,0.000412s,0.771364s,9,0.000251s,14,28
10,10,0.120634s,0.000334s,0.971294s,14,0.000488s,11,35
10,10,0.213526s,0.000556s,1.678797s,45,0.001162s,19,26
10,20,0.072024s,0.000773s,1.182002s,8,0.000342s,26,43
10,20,0.207646s,0.000754s,1.694228s,29,0.001087s,25,37
10,30,0.053767s,0.001731s,1.463061s,5,0.000278s,58,56
10,30,0.439637s,0.003603s,4.080765s,20,0.001511s,120,76
10,40,0.653005s,0.002876s,3.635220s,15,0.001670s,96,111
10,40,0.179687s,0.003140s,2.103147s,7,0.000549s,105,78
10,40,0.117299s,0.003074s,2.270793s,6,0.000450s,102,75
10,50,1.053934s,0.008492s,6.610011s,10,0.002881s,283,288
10,50,3.897315s,0.016274s,16.465356s,16,0.006799s,542,425
10,50,0.228944s,0.004680s,2.571322s,6,0.000757s,156,126
10,60,0.927804s,0.015831s,10.537583s,10,0.002494s,528,249
10,60,0.912209s,0.006647s,6.642972s,15,0.001942s,222,129
10,70,0.313648s,0.009320s,5.585306s,6,0.000807s,311,134
10,70,0.471244s,0.009608s,5.302874s,9,0.001234s,320,137
10,70,71.938057s,0.035795s,202.336730s,301,0.089855s,1193,299
10,80,0.747464s,0.012121s,6.567863s,10,0.001638s,404,164
10,80,0.659085s,0.012807s,6.923429s,9,0.001346s,427,150
10,80,0.540226s,0.011832s,6.412014s,7,0.001162s,394,166
10,90,1.526271s,0.017440s,10.045073s,14,0.002832s,581,202
10,90,0.776238s,0.016596s,7.367134s,8,0.001457s,553,182
10,90,0.364519s,0.016440s,5.907853s,6,0.000836s,548,139
10,100,0.297372s,0.017601s,7.655231s,7,0.000882s,587,126
10,110,0.799279s,0.023224s,10.977338s,10,0.001561s,774,156
10,110,10.041303s,0.049198s,36.287832s,33,0.015639s,1640,474
10,110,6.405921s,0.022987s,23.963141s,38,0.008548s,766,225
10,120,1.136022s,0.028377s,9.376172s,9,0.002277s,946,253
10,120,0.413496s,0.052424s,16.819142s,7,0.000980s,1747,140
10,120,17.027247s,0.036250s,57.210011s,70,0.021645s,1208,309
10,130,6.551122s,0.028335s,26.645054s,31,0.008789s,944,284
10,130,31.452634s,0.037316s,93.831632s,112,0.037046s,1244,331
10,130,5.456219s,0.035411s,23.879034s,24,0.007086s,1180,295
10,140,0.389220s,0.049880s,15.476609s,8,0.001122s,1663,140
10,140,3.162993s,0.040845s,18.663914s,12,0.004412s,1361,368
10,150,0.354479s,0.042213s,12.637966s,6,0.000890s,1407,148
10,150,1.269645s,0.055176s,16.992767s,7,0.002285s,1839,326
10,150,12.674120s,0.048800s,46.868126s,38,0.016936s,1627,446
