n_rounds, n_ops_per_round, merge time, comp time, sync time, merge count, real merge time, per-round comp time, average merge time
10,10,0.138499s,0.000289s,1.328453s,11,0.000197s,10,18
10,10,0.357823s,0.000269s,2.301883s,43,0.000638s,9,15
10,10,0.175173s,0.000242s,1.635854s,13,0.000236s,8,18
10,20,0.155992s,0.000406s,2.615015s,11,0.000251s,14,23
10,20,0.501128s,0.000358s,3.559464s,33,0.000878s,12,27
10,20,0.104108s,0.000500s,2.306612s,5,0.000136s,17,27
10,30,0.344040s,0.000638s,3.745812s,21,0.000512s,21,24
10,30,0.831271s,0.000683s,5.279094s,57,0.001183s,23,21
10,30,0.558907s,0.000582s,3.640795s,18,0.000671s,19,37
10,40,0.876560s,0.000789s,5.533176s,18,0.000978s,26,54
10,40,0.382156s,0.000807s,3.936084s,11,0.000405s,27,37
10,40,0.241659s,0.000822s,3.772490s,6,0.000261s,27,43
10,50,0.332116s,0.000965s,5.768042s,7,0.000426s,32,61
10,50,0.213390s,0.000933s,3.604308s,10,0.000296s,31,30
10,50,0.640407s,0.000769s,5.988495s,13,0.000686s,26,53
10,60,0.575750s,0.001030s,6.532638s,10,0.000627s,34,63
10,60,1.939418s,0.001131s,11.197771s,27,0.002428s,38,90
10,60,1.656537s,0.000970s,10.216041s,22,0.001575s,32,72
10,70,16.339341s,0.001174s,45.834310s,117,0.012617s,39,108
10,70,1.785597s,0.001178s,10.386286s,18,0.001738s,39,97
10,70,1.818336s,0.001142s,12.297464s,18,0.001599s,38,89
10,80,0.636350s,0.001300s,8.769515s,7,0.000591s,43,84
10,80,1.566976s,0.001369s,13.015399s,15,0.001571s,46,105
10,80,4.888593s,0.001242s,22.449931s,68,0.005569s,41,82
10,90,0.336414s,0.001706s,7.664510s,5,0.000387s,57,77
10,90,0.834735s,0.001629s,10.202879s,9,0.000770s,54,86
10,90,1.403417s,0.001570s,12.191462s,14,0.001361s,52,97
10,100,1.744664s,0.001682s,15.499963s,11,0.001407s,56,128
10,100,2.778653s,0.001752s,16.984476s,14,0.001734s,58,124
10,100,1.033160s,0.001806s,13.099072s,9,0.000884s,60,98
10,110,18.342273s,0.001824s,53.424998s,69,0.012125s,61,176
10,110,6.833814s,0.001787s,26.164760s,41,0.004707s,60,115
10,110,82.418076s,0.001833s,229.770141s,489,0.060117s,61,123
10,120,1.538260s,0.001902s,13.373894s,9,0.001216s,63,135
10,120,1.479892s,0.001908s,14.298001s,12,0.001403s,64,117
10,120,0.916277s,0.001996s,14.014431s,8,0.001066s,67,133
10,130,1.696496s,0.001989s,17.678247s,11,0.001312s,66,119
10,130,9.734744s,0.002060s,34.794854s,31,0.006469s,69,209
10,130,1.564035s,0.002223s,17.492253s,8,0.001175s,74,147
10,140,1.758304s,0.002388s,20.863232s,12,0.001550s,80,129
10,140,1.933820s,0.002225s,18.353492s,9,0.001378s,74,153
10,140,3.928311s,0.002418s,25.498834s,14,0.002702s,81,193
10,150,1.693266s,0.002338s,18.685398s,11,0.001403s,78,128
10,150,1.402374s,0.002607s,20.403935s,7,0.001155s,87,165
10,150,4.015510s,0.002544s,29.892883s,17,0.002846s,85,167
